Scientific_name,SLA,WD,H,Nmass
Pinus elliottii,7.7242,0.585,32.8822,9.5143
Pinus patula,12.17,0.4267,30,16
Pinus radiata,9.5869,0.47,37.3587,12.883
Pipturus albidus,18.3816,0.2247,7.572,18.9373
Pisonia sandwicensis,12.078882,0.3,11.25511417,23.519549
Pithecellobium dulce,15.0864,0.602669432,20,28.1446
Pittosporum glabrum,12.74931608,0.57,8,22.21118976
Pittosporum hosmeri,12.74931608,0.57,7.81,22.20102276
Planchonella sandwicensis,7.624,0.674004643,22.192,20.25
Polyscias hawaiensis,8.584311,0.452131,20,17.839528
Polyscias oahuensis,8.605339,0.455422,10,17.96139
Polyscias sandwicensis,9.576878927,0.456081,30,18.013199
Pritchardia beccariana,12.25724994,0.534334194,14.526631,16.53859432
Pritchardia munroi,13.18436528,0.52527,7.62,16.42315682
Prosopis pallida,8.607,0.629577666,24.5667,28.31675308
Prunus persica,18.40535964,0.655,8,40.53328947
Psidium cattleianum,8.6894,0.9577,7.25,13.4988
Psidium cattleyanum,5.478251342,1.12,6.675,12.338
Psidium guajava,9.9693,0.657,9.048,17.0717
Psychotria grandiflora,13.45790574,0.52,5,17.43320033
Psychotria greenwelliae,13.45790574,0.52,5,17.43320033
Psychotria hawaiiensis,10.0652,0.5129,14.16,12.8036
Psychotria hexandra,13.45790574,0.52,5.501808,17.43320033
Psychotria kaduana,13.02368177,0.52,8,17.626417
Psychotria mariniana,8.8574,0.52,19.906,17.4
Psychotria spp.,11.693799,0.6781,1.953333333,14.86666667
Psydrax odorata,6.4962,0.8335,11.0813,14.4479
Rauvolfia sandwicensis,13.17215688,0.46,8.108028,18.34079914
Rhodomyrtus tomentosa,10.1454,0.842289,2,10.5479
Rubus macraei,14.1301033,0.596386,9.739538667,29.07709774
Santalum freycinetianum,8.2305,0.75,20,22.4333
Santalum paniculatum,5.4915,0.7058,9.575,13.4
Sapindus oahuensis,10.65142374,0.56552898,17.9916,19.00658343
Scaevola gaudichaudiana,11.8483,0.5,3,31.7
Schefflera actinophylla,6.7295,0.4129,15,18.6667
Schinus molle,8.64655,0.53545,12.15925,19.5301
Schinus terebinthifolia,11.37634193,0.541879857,7,15.2
Schizostachyum glaucifolium,12.56734687,0.533426694,12.92999833,16.05162582
Sophora chrysophylla,11.0624,0.8917,14.144,26.6341
Spathodea campanulata,16.1496,0.341,24.692,24.6756
Styphelia tameiameiae,4.864,0.727819286,4.786,8.2
Swietenia macrophylla,25.4138,0.4171,40.8333,16.5247
Syzygium cumini,9.2799,0.6468,18.3107,16.7423
Syzygium jambos,8.7874,0.6961,14,12.7879
Syzygium malaccense,8.2399,0.5562,15,13.6739
Syzygium sandwicense,6.7751,0.63,23.93,14.9
Toona ciliata,13.5125,0.4208,28,21.4592
Touchardia latifolia,14.78233163,0.348468389,3,23.25389446
Trema orientalis,12.8741,0.3454,11.15,28.976
Vaccinium dentatum,8.399701513,0.695959286,3.3288,12.23222
Vaccinium reticulatum,12.8843,0.8589,2,9.5495
Wikstroemia furcata,14.8347957,0.52,4.5,19.28892732
Wikstroemia monticola,14.72383322,0.52,3,18.97066866
Wikstroemia oahuensis,8.4674,0.52,7.575,17.1
Wikstroemia sandwicensis,14.48869118,0.5667,5,15.96
Xylosma hawaiensis,13.87426342,0.55371,12.529777,21.084775
